Part Number,Vendor Code,Unit Cost,Location Code,Lead Time (days),Total Usage,Total Incidents,Description
930001314,C,25.85,5,60,0,0,NO USAGE
930002204-016,B,1.94,5,80,26,12,STRIP - HOLDOWN
930002511,D,1.55,5,120,0,0,NO USAGE
930010352,B,11.23,5,98,5,5,GATE - DROP
930010641,E,6.38,40,40,0,0,NO USAGE
930010753,D,14.55,5,14,0,0,NO USAGE
93004522M,C,6.55,12,113,1,1,REPLACED BY 0038973
930050722,B,586.53,50,161,4,4,SWITCH ASSM-OPTICAL
930055719,A,17.64,50,30,713,321,FINGER ASSY - RH PUS
930056310,B,28.49,5,150,22,15,BEARING ASSY - SHAFT
930056383,B,5.34,5,91,30,17,SPRKT ASSY-IDLER
9.30101E+11,D,0.08,11,120,0,0,NO USAGE
9.3022E+11,C,18.23,11,40,1,1,TRANSFORMER
9.30234E+11,D,0.72,11,120,0,0,NO USAGE
9.30234E+11,D,12.3,11,120,0,0,NO USAGE
9.3026E+11,D,0.53,11,120,0,0,NO USAGE
9.30272E+11,D,37.5,11,120,0,0,NO USAGE
9.3029E+11,B,36,11,40,10,9,MOTOR CONTROLLER
930300067,D,1.85,27,60,0,0,NO USAGE
930300134,D,68.5,27,90,0,0,NO USAGE
930300204,D,2.18,27,14,0,0,NO USAGE
9.3041E+11,D,31.28,11,120,0,0,NO USAGE
930450516,A,0.79,6,90,226,133,COVER - PLASTIC
930450763,D,6.69,6,150,0,0,NO USAGE
9.305E+11,D,5.08,11,120,0,0,NO USAGE
930502531,D,8.91,5,120,0,0,NO USAGE
930502874,D,6.57,5,120,0,0,NO USAGE
930502982,D,21.08,5,133,0,0,NO USAGE
930503024,C,2.05,5,112,1,1,PULLEY-TMG 12XL037 .
930504889,B,0.52,5,49,12,2,CAP-.150 MFD 50V
930509405,B,0.56,5,91,36,36,ROD
930515146,C,1.44,5,84,1,1,BAR-SUCKER SHAFT
930527433,D,8.32,5,30,0,0,NO USAGE
930527463,D,5.59,5,91,1,1,PLATE-BED
930527815,C,5.59,5,84,1,1,SHAFT-DROP ROLL
