,Part Number,Vendor Code,Unit Cost,Location Code,Lead Time (days),Total Usage,Total Incidents,Description,Purchase Volume,Daily Demand,theta,r,mil,Q,Order Frequency,Order Interval,Service Level,Fill Rate,Backorder Level,Inventory Level,I Investment,Implied A/i_h,Implied C_s/i_h
0,930001314,C,25.85,5,60,0.5,0,NO USAGE,12.925,0.0013698630137,0.0821917808219,0.0,1.0,1.0,0.5,730.0,0.921095293344,0.921095293344,0.00328707416587,0.921095293344,23.8103133329,25.85,301.760368196
1,930002204-016,B,1.94,5,80,26.0,12,STRIP - HOLDOWN,50.44,0.0712328767123,5.69863013699,10.0,18.0,8.0,3.25,112.307692308,0.968609819398,0.993125009918,0.00482911601674,8.80619897903,17.0840260193,2.38769230769,59.862766432
2,930002511,D,1.55,5,120,0.5,0,NO USAGE,0.775,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,1.3150456361,1.55,8.67538998696
3,930010352,B,11.23,5,98,5.0,5,GATE - DROP,56.15,0.013698630137,1.34246575342,2.0,5.0,3.0,1.66666666667,219.0,0.847223892503,0.929223768563,0.0270766516658,2.68461089824,30.1481803872,10.107,62.2762581708
4,930010641,E,6.38,40,40,0.5,0,NO USAGE,3.19,0.0013698630137,0.0547945205479,0.0,1.0,1.0,0.5,730.0,0.946679651186,0.946679651186,0.00147417173353,0.946679651186,6.03981617456,6.38,113.274130962
5,930010753,D,14.55,5,14,0.5,0,NO USAGE,7.275,0.0013698630137,0.0191780821918,0.0,1.0,1.0,0.5,730.0,0.981004647229,0.981004647229,0.000182729420507,0.981004647229,14.2736176172,14.55,751.426824711
6,93004522M,C,6.55,12,113,1.0,1,REPLACED BY 0038973,6.55,0.0027397260274,0.309589041096,0.0,1.0,1.0,1.0,365.0,0.733748434725,0.733748434725,0.0433374758209,0.733748434725,4.80605224745,3.275,18.0507943399
7,930050722,B,586.53,50,161,4.0,4,SWITCH ASSM-OPTICAL,2346.12,0.0109589041096,1.76438356164,1.0,4.0,3.0,1.33333333333,273.75,0.47351774308,0.703533949964,0.201601187151,1.43721762551,842.971253889,659.84625,527.524637721
8,930055719,A,17.64,50,30,713.0,321,FINGER ASSY - RH PUS,12577.32,1.95342465753,58.602739726,237.0,357.0,120.0,5.94166666667,61.4305750351,0.9999,1.0,1.37032257026e-71,238.897260274,4214.14767123,178.131837307,176382.36
9,930056310,B,28.49,5,150,22.0,15,BEARING ASSY - SHAFT,626.78,0.0602739726027,9.04109589041,9.0,15.0,6.0,3.66666666667,99.5454545455,0.581993797943,0.806018567157,0.311130946962,3.77003505655,107.408298761,23.31,39.666883462
10,930056383,B,5.34,5,91,30.0,17,SPRKT ASSY-IDLER,160.2,0.0821917808219,7.47945205479,12.0,20.0,8.0,3.75,97.3333333333,0.958081057581,0.989918971672,0.00863444669875,9.0291823919,48.2158339728,5.696,122.048710015
11,9.30101E+11,D,0.08,11,120,0.5,0,NO USAGE,0.04,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,0.0678733231536,0.08,0.447762063843
12,9.3022E+11,C,18.23,11,40,1.0,1,TRANSFORMER,18.23,0.0027397260274,0.109589041096,0.0,1.0,1.0,1.0,365.0,0.896202361969,0.896202361969,0.00579140306476,0.896202361969,16.3377690587,9.115,157.400200704
13,9.30234E+11,D,0.72,11,120,0.5,0,NO USAGE,0.36,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,0.610859908383,0.72,4.02985857459
